YEAR,NAME,NATIONALITY
1903,Maurice Garin,Française
1904,Henri Cornet,Française
1905,Louis Trousselier,Française
1906,René Pottier,Française
1907,Lucien Mazan dit Petit-Breton,Française
1908,Lucien Mazan dit Petit-Breton,Française
1909,François Faber,Luxembourgeoise
1910,Octave Lapize,Française
1911,Gustave Garrigou,Française
1912,Odile Defraye,Belge
1913,Philippe Thys,Belge
1914,Philippe Thys,Belge
1919,Firmin Lambot,Belge
1920,Philippe Thys,Belge
1921,Léon Scieur,Belge
1922,Firmin Lambot,Belge
1923,Henri Pelissier,Française
1924,Ottavio Bottecchia,Italienne
1925,Ottavio Bottecchia,Italienne
1926,Lucien Buysse,Belge
1927,Nicolas Frantz,Luxembourgeoise
1928,Nicolas Frantz,Luxembourgeoise
1929,Maurice De Waele,Belge
1930,André Leducq,Française
1931,Antonin Magne,Française
1932,André Leducq,Française
1933,Georges Speicher,Française
1934,Antonin Magne,Française
1935,Romain Maes,Belge
1936,Sylvère Maes,Belge
1937,Roger Lapebie,Française
1938,Gino Bartali,Italienne
1939,Sylvère Maes,Belge
1947,Jean Robic,Française
1948,Gino Bartali,Italienne
1949,Fausto Coppi,Italienne
1950,Ferdinand Kubler,Suisse
1951,Hugo Koblet,Suisse
1952,Fausto Coppi,Italienne
1953,Louis dit "Louison" Bobet,Française
1954,Louis dit "Louison" Bobet,Française
1955,Louis dit "Louison" Bobet,Française
1956,Roger Walkowiak,Française
1957,Jacques Anquetil,Française
1958,Charly Gaul,Luxembourgeoise
1959,Federico Bahamontes,Espagnole
1960,Gastone Nencini,Italienne
1961,Jacques Anquetil,Française
1962,Jacques Anquetil,Française
1963,Jacques Anquetil,Française
1964,Jacques Anquetil,Française
1965,Felice Gimondi,Italienne
1966,Lucien Aimar,Française
1967,Roger Pingeon,Française
1968,Jan Janssen,Hollandaise
1969,Eddy Merckx,Belge
1970,Eddy Merckx,Belge
1971,Eddy Merckx,Belge
1972,Eddy Merckx,Belge
1973,Luis Ocana,Espagnole
1974,Eddy Merckx,Belge
1975,Bernard Thevenet,Française
1976,Lucien Van Impe,Belge
1977,Bernard Thevenet,Française
1978,Bernard Hinault,Française
1979,Bernard Hinault,Française
1980,Joop Zoetemelk,Hollandaise
1981,Bernard Hinault,Française
1982,Bernard Hinault,Française
1983,Laurent Fignon,Française
1984,Laurent Fignon,Française
1985,Bernard Hinault,Française
1986,Greg Lemond,Américaine
1987,Stephen Roche,Irlandaise
1988,Pedro Delgado,Espagnole
1989,Greg Lemond,Américaine
1990,Greg Lemond,Américaine
1991,Miguel Indurain,Espagnole
1992,Miguel Indurain,Espagnole
1993,Miguel Indurain,Espagnole
1994,Miguel Indurain,Espagnole
1995,Miguel Indurain,Espagnole
1996,Bjarne Riis,Danoise
1997,Jan Ullrich,Allemande
1998,Marco Pantani,Italienne
1999,Sans vainqueur,-
2000,Sans vainqueur,-
2001,Sans vainqueur,-
2002,Sans vainqueur,-
2003,Sans vainqueur,-
2004,Sans vainqueur,-
2005,Sans vainqueur,-
2006,Óscar Pereiro,Espagnole
2007,Alberto Contador,Espagnole
2008,Carlos Sastre,Espagnole
2009,Alberto Contador,Espagnole
2010,Andy Schleck,Luxembourgeoise
2011,Cadel Evans,Australienne
2012,Bradley Wiggins,Britannique
2013,Chris Froome,Britannique
2014,Vincenzo Nibali,Italienne
